Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,834.16 ","2,016,201,720,182,010",11/1/2020,100,13121010304
,"$19,399.99 ","2,017,201,820,192,020",4/1/2022,100,13121007802
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,041.10 ",2011,3/1/2017,100,13121010513
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC  SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,432.25 ",2011,2/1/2019,100,13121010513
"CYGNUS GA., LLC","$7,100.38 ","201,220,132,014,201,000,000,000",12/1/2019,100,13121010513
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$755.51 ,2018,6/1/2021,100,13121007802
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$3,096.15 ","2,016,201,720,182,010",3/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$583.21 ,2018,4/1/2021,100,13121007200
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC;Investa Services, LLC as nominee for Fulton Tax Capital III, LLC","$12,120.38 ","20,112,012",2/1/2015,101,13121010211
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,067.59 ",2018,11/1/2020,100,13121010303
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA AS NOMINEE FOR FULTON TAX CAPITAL IV LC","$18,845.02 ","201,220,132,015",2/1/2017,101,13121010211
,"$9,266.16 ","201,120,122,013",3/1/2018,100,13121010511
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,302.80 ",2018,3/1/2021,100,13121010303
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,384.28 ",2018,4/1/2021,100,13121010511
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,563.58 ","2,013,201,420,152,010",12/1/2019,111,13121010515
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$3,516.70 ",2012,6/1/2015,101,13121011611
"Investa Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$9,184.87 ","2,013,201,420,152,010",5/1/2019,111,13121010515
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,498.55 ","201,320,142,015",4/1/2017,111,13121010515
,"$97,345.67 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,111,13121010514
DINKU PROPERTY DEVELOPMENT LLC,"$5,734.88 ",2020,10/1/2022,100,13121010206
"INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$51,976.91 ","20,132,014",8/1/2017,369,13121007900
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$27,979.40 ",2011,9/1/2016,369,13121007900
"InVesta Services of GA as Custodian for InVesta(C1) SPE-GA, LLC","$1,483.33 ",2012,11/1/2019,101,13121011412
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$22,890.11 ",2012,2/1/2015,369,13121007900
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$4,421.72 ",2018,10/1/2020,111,13121010515
"FIG Capital Investments, LLC","$1,551.46 ",2016,7/1/2018,300,13121005700
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$882.21 ,2018,6/1/2021,100,13121010301
"FIG CAPITAL INVESTMENTS, LLC","$1,390.77 ",2016,12/1/2018,300,13121005700
"InVesta Services of GA as Nominee for Fulton Tax Capital IV, LC","$2,239.70 ",2012,5/1/2015,101,13121010303
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC",$573.49 ,2014,8/1/2021,111,13121009101
,"$11,910.48 ","2,014,201,520,162,010,000,000,000,000",10/1/2021,100,13121004000
"FIG Capital Investments, LLC","$23,696.30 ","2,013,201,420,152,010",5/1/2018,100,13121010514
"SECURE PROPERTY FUNDING, LLC  C/O SECURE PROPERTY VENTURE LLC","$6,153.46 ",2012,11/1/2016,100,13121010514
,"$17,922.34 ",2009,12/1/2015,113,13121010301
,"$62,651.34 ","2,008,200,920,102,010",6/1/2015,113,13121010301
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$3,328.15 ",2018,10/1/2020,111,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$3,551.76 ",2018,2/1/2021,111,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,898.45 ",2018,3/1/2021,100,13121011615
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$4,672.60 ",2018,2/1/2021,111,13121010515
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$1,709.85 ",2015,12/1/2017,100,13121010301
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,674.33 ",2018,11/1/2020,100,13121011615
,"$63,480.94 ","20,132,014,201,520,100,000",11/1/2020,111,13121010515
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$17,019.80 ","201,320,142,015",12/1/2016,101,13121011621
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,976.31 ",2013,12/1/2015,109,13121008700
,"$17,556.86 ","20,122,013,201,420,100,000",4/1/2019,300,13121008902
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$2,669.63 ","20,132,014",8/1/2016,101,13121008301
,"$10,639.85 ","2,015,201,620,172,010,000,000,000,000",9/1/2022,100,13121010304
,"$20,561.93 ","201,220,132,014,201,000,000,000",8/1/2019,300,13121008902
,"$17,026.23 ","20,122,013,201,420,100,000",12/1/2018,300,13121008902
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,712.30 ","20,132,014",3/1/2020,109,13121008700
,"$65,121.85 ","20,132,014,201,520,100,000",3/1/2021,111,13121010515
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST, CUSTODIAN  FOR GSRAN-Z","$10,879.72 ","201,320,142,015,201,000,000,000",2/1/2020,101,13121008201
"THE GROVE APT. PROPERTY, LLC","$66,658.78 ","2,009,201,020,112,010,000,000,000,000",12/1/2017,321,13121005800
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$3,275.76 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,100,13121008601
,"$62,272.75 ","20,132,014,201,520,100,000",8/1/2020,111,13121010515
,"$3,489.45 ",2021,9/1/2022,100,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,335.89 ","201,020,112,013,201,000,000,000",11/1/2017,101,13121010515
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$728.83 ,2018,2/1/2021,300,13121011100
,"$3,930.97 ",2016,2/1/2019,100,13121010514
,"$4,036.88 ",2016,6/1/2019,100,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$11,623.52 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121008201
,"$3,610.63 ",2016,9/1/2018,100,13121010514
"Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$6,160.57 ","20,122,013",2/1/2015,102,13121008700
,"$32,931.52 ","20,132,014",5/1/2016,188,13121011615
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$3,005.21 ","20,132,014",6/1/2016,101,13121011503
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,857.82 ",2011,3/1/2017,101,13121010507
"FIG Capital Investments, LLC","$33,858.50 ","20,152,016",5/1/2018,188,13121011615
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$11,948.66 ","20,142,015",3/1/2017,101,13121011427
"SECURE PROPERTY FUNDING, LLC  C/O SECURE PROPERTY VENTURE LLC","$19,694.67 ",2012,11/1/2016,188,13121011615
METRO M3 INC,"$1,099.59 ",2012,2/1/2015,100,13121010514
,"$96,548.05 ","20,102,011,201,220,100,000",5/1/2016,100,13121010514
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,939.31 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121007706
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,837.22 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,100,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,870.54 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008102
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,158.89 ","20,122,013,201,420,100,000",10/1/2017,101,13121010507
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$18,769.80 ",2013,6/1/2015,2H1,13121008601
,"$14,514.14 ","201,320,142,015,201,000,000,000",8/1/2020,101,13121007602
,"$13,731.93 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121010514
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$2,439.83 ","2,009,201,020,112,010,000,000,000,000",4/1/2016,300,13121008500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,317.88 ",2018,3/1/2021,300,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$6,205.73 ","201,320,142,015",12/1/2016,106,13121011422
,"$12,413.91 ","201,520,162,017,201,000,000,000",12/1/2021,100,13121010301
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$3,925.42 ","20,102,011",8/1/2016,100,13121011303
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$3,371.45 ","201,320,142,015",12/1/2016,101,13121003900
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$20,306.60 ","2,014,201,520,162,010,000,000,000,000",11/1/2021,101,13121007602
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,948.93 ","20,112,012,201,320,100,000",2/1/2018,101,13121005700
,"$15,037.50 ","2,013,201,420,152,010",4/1/2020,100,13121010513
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,203.34 ","20,162,018",8/1/2021,101,13121010304
,"$23,859.84 ","201,120,122,013,201,000,000,000",10/1/2018,100,13121010513
,"$61,930.86 ","201,120,122,013,201,000,000,000",9/1/2018,300,13121007805
,"$9,489.26 ","201,520,162,017,201,000,000,000",12/1/2021,100,13121010514
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$28,387.61 ","201,420,152,016",12/1/2017,101,13121010400
,"$14,865.20 ","201,320,142,015,201,000,000,000",11/1/2020,101,13121007602
,"$15,363.14 ","201,320,142,015,201,000,000,000",3/1/2021,101,13121007602
,"$36,502.11 ","2,009,201,020,112,010,000,000,000,000",12/1/2016,699,13121008500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,148.32 ",2018,2/1/2022,88X,13121009402
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$521.29 ,2018,3/1/2022,101,13121009602
,"$25,509.00 ","201,120,122,013,201,000,000,000",7/1/2018,699,13121008500
"InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC;InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$3,653.27 ",2012,2/1/2015,106,13121009404
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,053.02 ","20,152,016,201,720,100,000",10/1/2020,100,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$16,143.88 ","20,162,017,201,820,100,000",8/1/2021,106,13121011422
"Investa Services, LLC Christina Trust as Custodian; Investa Services of GA Christina Trust as Custodian","$3,118.05 ","2,011,201,220,132,010",9/1/2015,101,13121007400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$16,722.98 ","20,132,014",6/1/2017,301,13121007706
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$5,320.49 ","20,152,016,201,720,100,000",2/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,002.08 ","201,520,162,018",11/1/2020,100,13121010304
ABERON FUND 1 LLC C/O RIAH CAPITAL MANAGEMENT LLC,"$12,227.33 ",2015,9/1/2018,301,13121007706
"FIG as Custodian for FIG GA13, LLC and Secured Party","$1,627.53 ","201,520,162,018",3/1/2020,100,13121010304
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$12,297.63 ","20,162,017,201,820,100,000",10/1/2022,101,13121008101
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,238.75 ","2,009,201,020,112,010,000,000,000,000",11/1/2016,101,13121008101
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,192.84 ","201,520,162,018",3/1/2021,100,13121010304
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,881.50 ","201,520,162,018",8/1/2020,100,13121010304
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$19,769.70 ","201,620,172,018,201,000,000,000",10/1/2022,106,13121009404
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,405.62 ",2018,11/1/2020,188,13121011622
"Investa Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z",$836.48 ,2016,5/1/2019,101,13121010513
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$81,470.91 ","2,013,201,420,152,010",10/1/2017,210,13121002300
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$18,720.90 ",2011,9/1/2016,210,13121002300
,"$5,626.32 ","20,142,015",11/1/2016,373,13121007400
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$3,164.83 ",2014,8/1/2017,106,13121010113
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LLC","$1,728.01 ",2012,6/1/2015,374,13121005501
,"$9,033.10 ","20,122,013,201,420,100,000",5/1/2019,100,13121008000
"LENDER TITLE & ESCROW, LLC SUBSEQUENTLY TRANSFERRED TO RIAH CAPITAL MANAGEMENT LLC, AS CUTODIAN FOR JUNO TAX RECEIVABLES LLC",$435.96 ,2011,10/1/2018,106,13121009700
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,691.54 ","20,142,015",4/1/2017,101,13121010510
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,478.34 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121004000
"INVESTA SERVICES OF GA AS NOMINEE FOR GSRAN, LLC","$1,889.54 ",2011,8/1/2017,101,13121010210
InVesta Services LLC Christina Trust as Custodian,"$2,221.55 ",2014,6/1/2016,100,13121010120
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$609.04 ,2018,4/1/2021,100,13121010513
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,866.82 ","2,013,201,420,152,010",3/1/2018,101,13121007807
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$14,125.49 ","2,009,201,020,112,010",8/1/2015,102,13121008602
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$2,311.56 ",2013,9/1/2015,102,13121008602
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,102.98 ","2,012,201,320,142,010",4/1/2016,101,13121007807
"FIG Capital Investments, LLC","$3,696.44 ","20,152,016",5/1/2018,485,13121008800
,"$10,910.22 ","2,009,201,020,112,010,000,000,000,000",6/1/2016,101,13121007500
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,132.52 ",2017,9/1/2020,101,13121007807
"Investa Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$3,704.70 ","2,012,201,320,152,010",5/1/2019,101,13121007807
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,405.50 ",2017,4/1/2021,101,13121007807
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,120.25 ",2011,3/1/2017,101,13121008700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$33,173.07 ","2,012,201,320,142,010",11/1/2016,300,13121010515
"Investa Services, LLC Christina Trust as Custodian; Investa Services of GA Christina Trust as Custodian","$8,571.36 ","20,102,011,201,220,100,000",9/1/2015,101,13121007300
"INVESTA SERVICES OF GA AS NOMINEE FOR FULTON TAX CAPITAL IV, LC; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,495.36 ","2,012,201,320,152,010",3/1/2018,101,13121006900
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,670.16 ","2,015,201,620,172,010,000,000,000,000",9/1/2022,100,13121006900
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,891.72 ",2018,2/1/2022,373,13121007802
,"$17,229.85 ","20,102,011,201,220,100,000",3/1/2015,300,13121008800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,300.51 ","2,014,201,520,162,010,000,000,000,000",8/1/2021,100,13121007100
RIAH CAPITAL MANAGEMENT LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC,"$1,426.07 ",2011,10/1/2017,101,13121010301
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,369.10 ",2018,11/1/2020,100,13121011616
,"$8,017.88 ","200,820,092,010,201,000,000,000",3/1/2015,100,13121010304
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$7,011.61 ","201,320,142,015",12/1/2016,101,13121011419
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHER TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,457.72 ",2011,9/1/2017,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$19,966.70 ","201,320,142,015",2/1/2017,101,13121011418
"INVESTA SERVICES, LLC SERVICES FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$14,157.25 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121010304
,"$64,247.10 ","20,092,010",2/1/2016,200,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,961.01 ","2,017,201,820,192,020",8/1/2021,101,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,624.57 ","201,520,162,017,201,000,000,000",9/1/2022,100,13121010301
,"$10,225.33 ","2,009,201,020,112,010,000,000,000,000",11/1/2016,101,13121011201
,"$7,157.37 ","201,420,152,016,201,000,000,000",8/1/2021,100,13121010400
,"$4,231.32 ","20,162,017,201,820,100,000",11/1/2021,100,13121010400
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$6,034.98 ","201,020,112,012",5/1/2016,100,13121010400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,770.28 ","201,620,172,019",11/1/2020,100,13121010301
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,062.07 ","201,620,172,019",3/1/2021,100,13121010301
,"$10,795.34 ","201,120,122,013,201,000,000,000",11/1/2018,100,13121010514
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,206.70 ",2018,6/1/2021,100,13121010516
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$1,875.93 ",2015,10/1/2017,100,13121010304
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,291.12 ",2011,4/1/2017,101,13121010507
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,404.94 ",2018,11/1/2020,100,13121011616
"GEORGIA TAX PAYMENTS, LLC","$5,998.97 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,100,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$13,181.78 ","20,152,016",12/1/2017,2C1,13121011202
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,767.77 ",2011,5/1/2017,101,13121007500
,"$2,097.77 ","20,092,010",3/1/2016,100,13121002400
"RIAH CAPITAL MANAGEMENT, LLC  AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$3,569.54 ","2,011,201,220,132,010",10/1/2017,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,671.61 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121002400
"InVesta Services of GA as nominee for Fulton Tax Capital IV, LC","$7,793.21 ",2012,2/1/2015,101,13121010304
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$7,477.24 ","20,112,012,201,320,100,000",4/1/2016,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,317.53 ",2018,10/1/2020,100,13121007805
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$745.79 ,2018,11/1/2020,100,13121007805
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$1,476.63 ",2018,2/1/2021,100,13121007805
,"$8,470.91 ","20,192,020",5/1/2022,100,13121007805
"INVESTA SERVICES, LLC AS SERVICER FOR CHRISTINA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTINA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN","$2,348.72 ","201,320,142,015",8/1/2016,101,13121010507
"INVICTA SERVICES I, LLC  C/O MCCULLOUGH, PAYNE, & HAAN","$1,424.88 ",2015,2/1/2019,100,13121010301
,"$3,591.00 ",2021,10/1/2022,300,13121011619
"Investa Services of GA Christiana Trust as Custodian; InVesta Services of GA as Nominee for Fulton Tax Capital IV, LC; Investa Services, LLC as nominee for Fulton Tax Capital III, LC","$2,106.69 ","201,120,122,013",5/1/2015,106,13121011619
